id,name,lat,lon
MAC,"Macao, China",22.198745,113.543873
SGP,Singapore,1.352083,103.819836
HKG,"Hong Kong, China",22.396428,114.109497
MUS,Mauritius,-20.348404,57.552152
SYC,Seychelles,-4.679574,55.491977
BHR,Bahrain,26.0667,50.5577
MDV,Maldives,1.977247,73.5361034
KNA,St. Kitts and Nevis,17.357822,-62.782998
DBS,Barbados,13.193887,-59.543198
CPV,Cape Verde,15.120142,-23.6051721
GRD,Grenada,12.1165,-61.679
ATG,Antigua & Barbuda,17.0870487,-61.8535321
LCA,St. Lucia,13.909444,-60.978893
VCT,St. Vincent and the G.,13.2527797,-61.3372523
DMA,Dominica,15.414999,-61.370976
FSM,Micronesia,6.8874813,158.2150717
MHL,Marshall Islands,6.0683936,171.989379
WSM,Samoa,-13.759029,-172.104629
STP,S. Tomé & Principe,0.1996928,6.3303559
KIR,Kiribati,1.8708833,-157.3630262
